"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
7,9.09954020656875,1.29993431522411,29.7056968851797,56.3553568592385,0,0,"Model","VR_ME"
157,7.04717718410824,0.0448864788796703,NA,NA,NA,NA,"Error","VR_ME"
164,16.146717390677,NA,NA,NA,NA,NA,"Total","VR_ME"
9,18.1324463436697,2.01471626040775,41.0208478896131,68.1743266241608,0,0,"Model","FDK_ME"
155,8.46473068989652,0.0546111657412679,NA,NA,NA,NA,"Error","FDK_ME"
164,26.5971770335663,NA,NA,NA,NA,NA,"Total","FDK_ME"
10,24.6645940479364,2.46645940479364,43.1570623490199,70.0163780968997,0,0,"Model","DON_ME"
154,10.5622981711979,0.0685863517610255,NA,NA,NA,NA,"Error","DON_ME"
164,35.2268922191344,NA,NA,NA,NA,NA,"Total","DON_ME"
5,359.393220968985,71.8786441937969,34.6050145960366,61.7111684500841,0,0,"Model","HD_ME"
160,222.98632230556,1.39366451440975,NA,NA,NA,NA,"Error","HD_ME"
165,582.379543274545,NA,NA,NA,NA,NA,"Total","HD_ME"
2,1678.73617821182,839.368089105909,13.6774483873057,32.0517075390705,2.09832151654155e-14,3.75255382323303e-14,"Model","PH_ME"
160,3558.85116769001,22.2428197980626,NA,NA,NA,NA,"Error","PH_ME"
162,5237.58734590183,NA,NA,NA,NA,NA,"Total","PH_ME"
5,10.7377366745561,2.14754733491123,17.7481069887714,39.4335922400463,3.33066907387547e-16,1.11022302462516e-15,"Model","VR_KIN19"
157,16.4921859994719,0.105045770697273,NA,NA,NA,NA,"Error","VR_KIN19"
162,27.2299226740281,NA,NA,NA,NA,NA,"Total","VR_KIN19"
3,13.4322071595047,4.47740238650158,10.5584763012689,25.792441427445,1.56876733825584e-10,2.62190269495477e-10,"Model","FDK_KIN19"
159,38.6458684941319,0.243055776692653,NA,NA,NA,NA,"Error","FDK_KIN19"
162,52.0780756536366,NA,NA,NA,NA,NA,"Total","FDK_KIN19"
3,27.5223604284077,9.17412014280256,13.791390485402,32.2700921321025,1.04360964314765e-13,2.04947170345804e-13,"Model","DON_KIN19"
159,57.7651569289669,0.363302873767088,NA,NA,NA,NA,"Error","DON_KIN19"
162,85.2875173573746,NA,NA,NA,NA,NA,"Total","DON_KIN19"
5,686.265370930258,137.253074186052,26.6495052494637,53.1193351239192,0,0,"Model","HD_KIN20"
156,605.666030939338,3.88247455730345,NA,NA,NA,NA,"Error","HD_KIN20"
161,1291.9314018696,NA,NA,NA,NA,NA,"Total","HD_KIN20"
1,2.0444154513643,2.0444154513643,3.18490020429605,8.6052035617761,0.000128271984092154,0.000144507156210172,"Model","VR_KIN20"
161,21.7134821589316,0.13486634881324,NA,NA,NA,NA,"Error","VR_KIN20"
162,23.7578976102959,NA,NA,NA,NA,NA,"Total","VR_KIN20"
5,12.2039669449416,2.44079338898831,15.3646326361363,35.2146364544555,7.1276318180935e-14,1.84074977482851e-13,"Model","FDK_KIN20"
157,22.4519834600142,0.143006264076523,NA,NA,NA,NA,"Error","FDK_KIN20"
