"GENOTYPE","FHB_ME","FDK_ME","DON_ME","HD_ME","PH_ME","FHB_KIN19","FDK_KIN19","DON_KIN19","HD_KIN20","FHB_KIN20","FDK_KIN20","DON_KIN20","PH_KIN20","HD_RAL19","FHB_RAL19","FDK_RAL19","DON_RAL19","HD_RAL20","FHB_RAL20","FDK_RAL20","DON_RAL20","PH_RAL20","FDK_WAR19","DON_WAR19","HD_WAR20","FHB_WAR20","FDK_WAR20","DON_WAR20"
"13955-138",1.42157319464789,3.44997905994712,2.16090327121913,98.8749999813817,85.0000000000316,1.60943731895689,3.2185696674422,2.39110165960355,87,1.87052829655452,4.13424647614771,2.55227068622197,83.75,101.5,1.60943791243411,3.86015136625322,3.59088053652901,87,1.38629436111968,3.31248868774212,1.02907665892515,86.25,50,2.30103317363111,120,1,2.01486512285221,0.506817602367961
"13955-191",1.07982396062871,3.12317791860338,2.05696236191434,101.87499998124,98.7500000000319,1.0986116951909,2.30227893556804,1.87722725298821,91.5,1.09733840832104,3.55442798089477,2.43303310485459,99.9999999999999,103.5,1.25276296849538,3.62376258818899,3.36841981214471,90.4999999999999,0.916290731873915,2.52403132737785,1.58051266679235,97.5000000000001,20,1.64337011779279,122,3,3.55531016379936,1.4060969884156
"13955-14",1.02266552209451,3.30180585644912,1.70657709539078,98.4999999813554,82.5000000000317,1.0986116951909,3.21856966744219,1.83034366708936,86.5,1.38502048077282,3.68795937351929,2.57904092728657,81.25,100.5,1.01160091167849,3.62376258818899,2.57104912571401,87,0.916290731873946,3.21717850793779,1.39392671121194,83.7500000000001,15,1.202420884963,120,2,3.31414810698247,0.858661619037028
"13955-3",0.932405729315397,2.89470186424692,1.68864820320884,97.4999999812099,90.000000000032,0.916290731874072,2.52542248688225,1.83034366708936,86.5,1.09733840832104,3.21795574427355,2.45889661544451,88.7499999999999,100.5,1.09861228866812,3.112936964423,2.32781881583307,83.5,0.916290731873966,2.99403495662359,1.80774601292325,91.2500000000001,10,1.24622350762139,119.5,2,3.11347741152032,0.431782416425107
"13955-123",1.21797428502504,2.83327032374094,1.5778202393131,98.8749999813657,85.0000000000317,1.38629376764268,2.52542248688225,1.64642082892843,85.5,1.5028035164292,3.21795574427355,2.22505777501355,83.75,102,1.09861228866811,3.68830110932656,2.89225389020444,87,1.25276296849516,2.01320570361186,0.692604422303935,86.25,15,1.23183477016929,121,2.5,2.70801230341215,0.392042087775533
"13955-188",0.893185000934477,3.18231257938516,1.6763505454725,100.499999981242,102.500000000032,0.40546510810801,3.21856966744219,2.2437769448467,88,1.38502048077282,3.62342085238172,2.09917752912455,103.75,104.5,0.916290731874167,3.21829748008082,2.3181100017061,88,1.09861228866787,2.7063528841718,0.169200016331083,101.25,60,2.42267828305344,121.5,1.5,2.01486512285221,0.0392207131528174
"13955-GA06493-13LE6",1.92003036185184,4.3478127012439,3.53218499457383,101.332718863973,92.8750000000318,1.83827956964523,4.38526119663952,4.6527064798896,90.5,2.00020611986305,4.42989671824867,3.6539082343145,91.5,106.918951617237,1.88706962980687,4.35005036420947,4.50769516522892,88,2.04122032885947,4.21043028094808,2.5078265429451,94.25,97.8112768055311,3.73583263257898,120.7,6.2,4.1351286590523,2.07944154167937
"13955-36",1.50295061712611,3.89215421929717,2.63704403665387,100.874999981208,94.3750000000319,1.70474809223833,4.17408111246963,3.46661823347702,90,1.2514890881483,3.68795937351929,2.62332860748769,89.9999999999999,105,1.70474809223844,4.3814482898865,3.72492409305717,87,1.50407739677608,3.2171785079378,0.369422394697551,98.75,65,2.91930668521585,121.5,4,3.68884155642388,1.6014057407364
"13955-171",1.28522713813789,3.36518846140119,1.79176893770276,101.374999981255,91.8750000000318,1.25276296849515,3.31387984724652,2.78277344557938,90,1.09733840832104,3.62342085238172,1.65327145145787,89.9999999999999,105,1.3862943611199,3.68830110932656,2.4461384761334,88.5,1.38629436111965,2.99403495662359,1.14685969458153,93.7500000000001,20,1.7684128900377,122,4,3.55531016379936,1.16315080980522
"13955-94",1.83319230163424,3.97545885397035,2.57709399741661,98.2499999811712,83.7500000000319,1.94591014905539,3.86042355361459,2.74182284196629,86.5,2.07816766133277,4.44173117589567,2.75188374012598,83.75,100,1.79175946922806,4.31690976874893,3.76013899934824,86.5,1.5040773967761,3.47954277240529,1.36795122480868,83.75,40,2.7998466409491,120,6.5,4.05174705011325,1.86872051036371
"13955-107",1.02421324971642,3.10696393439654,1.7939102637204,96.3749999814203,97.5000000000311,1.38629436111977,3.21856966744219,2.18381348007914,84,1.2514890881483,3.40027730106751,2.00325740724581,92.5,100,1.32175583998231,3.55476971670204,2.4461384761334,83,0.916290731873945,2.30088777606364,1.46803468336566,102.5,50,2.28093199431002,118.5,0.500000000000003,2.01486512285221,0.797507195883698
"13955-181",1.29553247284381,3.5380725793437,2.6699516379233,98.4999999812376,85.6250000000318,1.60943731895689,4.00702702780646,3.58682132217277,85.5,1.70347421189136,3.85980963044595,3.01790431579658,83.7499999999999,102.5,1.55814461804656,3.91144466064077,3.69583113211551,86,1.38629436111965,2.99403495662359,1.87349979147383,87.5000000000001,35,2.58871524608289,120,0,2.86216298323941,0.824175442965887
"13955-69",1.20066969459442,3.09679473159105,1.78836804879912,98.2499999811752,89.3750000000319,1.38629436111994,3.55504190406341,2.62604743597439,86.5,1.5028035164292,3.95989308900293,2.54057464645877,87.5,100,1.3862943611199,3.31360765988515,1.78259176534974,86,1.09861228866792,2.30088777606364,0.709953060638546,91.25,20,2.10971605392858,120.5,1.5,2.30254719530399,0.850150929369153
"13955-146",0.872982262783546,2.73436070715341,1.10258211740814,97.8749999813035,96.2500000000317,1.09861228866797,2.30227893556804,1.46793804844164,87,1.5028035164292,3.62342085238172,1.7442432296636,95,98.9999999999999,1.01160091167849,3.40061903687478,1.99904632851315,86,0.693147180559735,2.30088777606364,1.16435226956744,97.5000000000001,10,0.847875867282091,119.5,0,2.30254719530399,-0.478035800943491
"13955-26",1.36318865685822,3.44163566261798,1.89666297698053,98.8749999812151,85.6250000000319,1.60943791243404,3.55504190406341,2.13192864471013,87,1.38502048077282,3.68795937351929,2.84285551833171,83.7499999999999,100.5,1.25276296849538,3.68830110932656,2.61187112023427,86.5,1.50407739677608,3.31248868774212,1.60889515417809,87.5000000000001,20,1.36717611803906,121.5,3,3.4011594839721,0.76080582903333
"13955-180",1.36318861643113,3.41330074712474,1.86350097575835,96.2499999812272,91.8750000000318,1.70474809223831,3.55504190406341,2.32014992363127,84.5,1.70347421189136,4.17346718930099,2.60878289648531,88.7499999999999,99,1.3862943611199,3.74892573114299,2.43317933149089,83,1.25276296849513,2.52403132737785,0.29531442254383,95.0000000000001,45,2.40040564744431,118.5,1.5,2.5256907466182,0.182321556793492
