"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
11,11.3675036827016,1.03340942570015,43.6200429339469,70.4013293083656,0,0,"Model","VR_ME"
153,4.77921370797533,0.0312366909017996,NA,NA,NA,NA,"Error","VR_ME"
164,16.146717390677,NA,NA,NA,NA,NA,"Total","VR_ME"
9,18.1324463436694,2.01471626040771,41.0208478896128,68.1743266241605,0,0,"Model","FDK_ME"
155,8.46473068989646,0.0546111657412675,NA,NA,NA,NA,"Error","FDK_ME"
164,26.5971770335658,NA,NA,NA,NA,NA,"Total","FDK_ME"
10,24.6688023905683,2.46688023905683,43.1713406805161,70.0283244888941,0,0,"Model","DON_ME"
154,10.5580898285659,0.0685590248608176,NA,NA,NA,NA,"Error","DON_ME"
164,35.2268922191342,NA,NA,NA,NA,NA,"Total","DON_ME"
5,359.393220967771,71.8786441935541,34.6050145968655,61.7111684509646,0,0,"Model","HD_ME"
160,222.986322296497,1.39366451435311,NA,NA,NA,NA,"Error","HD_ME"
165,582.379543264268,NA,NA,NA,NA,NA,"Total","HD_ME"
2,1678.73617821184,839.368089105922,13.6774483873055,32.0517075390701,2.09832151654155e-14,3.75255382323303e-14,"Model","PH_ME"
160,3558.85116769013,22.2428197980633,NA,NA,NA,NA,"Error","PH_ME"
162,5237.58734590198,NA,NA,NA,NA,NA,"Total","PH_ME"
5,10.7377366745561,2.14754733491123,17.7481069887714,39.4335922400463,3.33066907387547e-16,1.11022302462516e-15,"Model","VR_KIN19"
157,16.4921859994719,0.105045770697273,NA,NA,NA,NA,"Error","VR_KIN19"
162,27.2299226740281,NA,NA,NA,NA,NA,"Total","VR_KIN19"
4,16.3872494937108,4.0968123734277,13.3740136651664,31.4666955106023,1.34381394900629e-12,2.81086265374597e-12,"Model","FDK_KIN19"
158,35.6908261599253,0.225891304809654,NA,NA,NA,NA,"Error","FDK_KIN19"
162,52.0780756536361,NA,NA,NA,NA,NA,"Total","FDK_KIN19"
3,27.5223604284076,9.17412014280252,13.7913904854019,32.2700921321024,1.04360964314765e-13,2.04947170345804e-13,"Model","DON_KIN19"
159,57.7651569289668,0.363302873767087,NA,NA,NA,NA,"Error","DON_KIN19"
162,85.2875173573744,NA,NA,NA,NA,NA,"Total","DON_KIN19"
3,606.224614694773,202.074871564924,22.2831815039658,46.9239012084918,0,0,"Model","HD_KIN20"
158,685.706787174823,4.3399163745242,NA,NA,NA,NA,"Error","HD_KIN20"
161,1291.9314018696,NA,NA,NA,NA,NA,"Total","HD_KIN20"
1,2.0444154513643,2.0444154513643,3.18490020429603,8.60520356177605,0.000128271984092154,0.000144507156210172,"Model","VR_KIN20"
161,21.7134821589317,0.13486634881324,NA,NA,NA,NA,"Error","VR_KIN20"
162,23.757897610296,NA,NA,NA,NA,NA,"Total","VR_KIN20"
5,11.9819251981643,2.39638503963286,15.0163088491283,34.5739333596544,1.53765888910584e-13,3.88133969408955e-13,"Model","FDK_KIN20"
157,22.6740252067915,0.144420542718417,NA,NA,NA,NA,"Error","FDK_KIN20"
162,34.6559504049558,NA,NA,NA,NA,NA,"Total","FDK_KIN20"
4,18.3814878690719,4.59537196726798,18.4955016016815,40.6990937993982,0,0,"Model","DON_KIN20"
158,26.7828785899761,0.169511889809975,NA,NA,NA,NA,"Error","DON_KIN20"
162,45.164366459048,NA,NA,NA,NA,NA,"Total","DON_KIN20"
