"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
7,8.60367208592872,1.22909601227553,27.2693460516484,53.2843418123888,0,0,"Model","VR_ME"
157,7.54304530474821,0.0480448745525364,NA,NA,NA,NA,"Error","VR_ME"
164,16.1467173906769,NA,NA,NA,NA,NA,"Total","VR_ME"
1,0.860419504802158,0.860419504802158,1.13647355339168,3.15983087834042,0.0221539426919882,0.0232002162942379,"Model","VR_KIN19"
161,26.3695031692259,0.163785733970347,NA,NA,NA,NA,"Error","VR_KIN19"
162,27.2299226740281,NA,NA,NA,NA,NA,"Total","VR_KIN19"
2,3.66073399256302,1.83036699628151,5.92286890138732,15.4084930098215,1.19434858292244e-06,1.53511514278115e-06,"Model","VR_KIN20"
160,20.097163617733,0.125607272610831,NA,NA,NA,NA,"Error","VR_KIN20"
162,23.7578976102961,NA,NA,NA,NA,NA,"Total","VR_KIN20"
4,5.43712372163508,1.35928093040877,15.5196160576486,35.3250071254658,1.11022302462516e-14,2.62012633811537e-14,"Model","VR_RAL19"
159,9.95458930003181,0.0626074798744139,NA,NA,NA,NA,"Error","VR_RAL19"
163,15.3917130216669,NA,NA,NA,NA,NA,"Total","VR_RAL19"
3,7.36248375846789,2.45416125282263,13.2398311189031,31.2063924661926,3.64486218984439e-13,6.96109836439973e-13,"Model","VR_RAL20"
159,16.2303867293465,0.102077903958154,NA,NA,NA,NA,"Error","VR_RAL20"
162,23.5928704878144,NA,NA,NA,NA,NA,"Total","VR_RAL20"
3,95.2161972258449,31.738732408615,12.0432873494246,28.6932501085072,5.47362155600695e-12,9.81481562689623e-12,"Model","VR_WAR20"
160,236.625601335742,1.47891000834839,NA,NA,NA,NA,"Error","VR_WAR20"
163,331.841798561587,NA,NA,NA,NA,NA,"Total","VR_WAR20"
9,17.5686594559509,1.95207327288344,38.7105754280756,66.0546020872036,0,0,"Model","FDK_ME"
155,9.02851757761477,0.0582485005007405,NA,NA,NA,NA,"Error","FDK_ME"
164,26.5971770335657,NA,NA,NA,NA,NA,"Total","FDK_ME"
3,11.5788366231807,3.85961220772689,8.90045730933777,22.2336107428194,6.57724941177662e-09,1.01225433590812e-08,"Model","FDK_KIN19"
