"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
7,8.60367208592874,1.22909601227553,27.2693460516484,53.2843418123887,0,0,"Model","VR_ME"
157,7.54304530474825,0.0480448745525366,NA,NA,NA,NA,"Error","VR_ME"
164,16.146717390677,NA,NA,NA,NA,NA,"Total","VR_ME"
1,0.860419504802158,0.860419504802158,1.13647355339168,3.15983087834042,0.0221539426919882,0.0232002162942379,"Model","VR_KIN19"
161,26.3695031692259,0.163785733970347,NA,NA,NA,NA,"Error","VR_KIN19"
162,27.2299226740281,NA,NA,NA,NA,NA,"Total","VR_KIN19"
2,3.66073399256298,1.83036699628149,5.92286890138729,15.4084930098214,1.19434858292244e-06,1.53511514278115e-06,"Model","VR_KIN20"
160,20.0971636177329,0.125607272610831,NA,NA,NA,NA,"Error","VR_KIN20"
162,23.7578976102959,NA,NA,NA,NA,NA,"Total","VR_KIN20"
4,5.39509394348683,1.34877348587171,15.3695727274123,35.0519395462491,1.55431223447522e-14,3.61932706027801e-14,"Model","VR_RAL19"
159,9.99661907818006,0.0628718181017614,NA,NA,NA,NA,"Error","VR_RAL19"
163,15.3917130216669,NA,NA,NA,NA,NA,"Total","VR_RAL19"
3,7.36248375846789,2.45416125282263,13.2398311189031,31.2063924661926,3.64486218984439e-13,6.96109836439973e-13,"Model","VR_RAL20"
159,16.2303867293465,0.102077903958154,NA,NA,NA,NA,"Error","VR_RAL20"
162,23.5928704878144,NA,NA,NA,NA,NA,"Total","VR_RAL20"
3,95.2161972258449,31.738732408615,12.0432873494246,28.6932501085072,5.47362155600695e-12,9.81481562689623e-12,"Model","VR_WAR20"
160,236.625601335742,1.47891000834839,NA,NA,NA,NA,"Error","VR_WAR20"
163,331.841798561587,NA,NA,NA,NA,NA,"Total","VR_WAR20"
8,17.1497544539981,2.14371930674976,37.0855816972969,64.4796041036787,0,0,"Model","FDK_ME"
156,9.44742257956818,0.0605604011510781,NA,NA,NA,NA,"Error","FDK_ME"
164,26.5971770335663,NA,NA,NA,NA,NA,"Total","FDK_ME"
3,11.5788366231806,3.85961220772686,8.90045730933777,22.2336107428194,6.57724941177662e-09,1.01225433590812e-08,"Model","FDK_KIN19"
159,40.499239030456,0.254712195160101,NA,NA,NA,NA,"Error","FDK_KIN19"
162,52.0780756536366,NA,NA,NA,NA,NA,"Total","FDK_KIN19"
5,11.60603268589,2.32120653717801,14.4343373715138,33.4892927484984,5.54445378497803e-13,1.34736666268509e-12,"Model","FDK_KIN20"
157,23.0499177190657,0.14681476254182,NA,NA,NA,NA,"Error","FDK_KIN20"
162,34.6559504049558,NA,NA,NA,NA,NA,"Total","FDK_KIN20"
3,7.00907831058083,2.33635943686028,10.0306305038462,24.5472213719296,5.16072184986172e-10,8.37658054031465e-10,"Model","FDK_RAL19"
160,21.5443705885108,0.134652316178193,NA,NA,NA,NA,"Error","FDK_RAL19"
163,28.5534488990917,NA,NA,NA,NA,NA,"Total","FDK_RAL19"
3,17802.7873764913,5934.26245883044,11.1947322324193,26.9737709128788,3.72846198359866e-11,6.41051656202762e-11,"Model","FDK_WAR19"
160,48197.578067375,301.234862921094,NA,NA,NA,NA,"Error","FDK_WAR19"
163,66000.3654438664,NA,NA,NA,NA,NA,"Total","FDK_WAR19"
3,17.1144876570014,5.70482921900047,13.7672549780395,32.0629559693985,1.10245146345278e-13,2.1538326677728e-13,"Model","FDK_WAR20"
160,36.2632722517726,0.226645451573578,NA,NA,NA,NA,"Error","FDK_WAR20"
163,53.377759908774,NA,NA,NA,NA,NA,"Total","FDK_WAR20"
8,21.9249910550797,2.74062388188497,34.8942506556264,62.2393565651262,0,0,"Model","DON_ME"
156,13.3019011640546,0.0852685972054784,NA,NA,NA,NA,"Error","DON_ME"
164,35.2268922191344,NA,NA,NA,NA,NA,"Total","DON_ME"
3,16.842915077144,5.61430502571465,7.78702087854814,19.7483941367038,8.0143472303007e-08,1.16705922925675e-07,"Model","DON_KIN19"
159,68.4446022802306,0.43046919673101,NA,NA,NA,NA,"Error","DON_KIN19"
162,85.2875173573746,NA,NA,NA,NA,NA,"Total","DON_KIN19"
6,22.1449809829809,3.69083016383015,23.8552290566071,49.0319752476999,0,0,"Model","DON_KIN20"
156,23.0193854760672,0.147560163308123,NA,NA,NA,NA,"Error","DON_KIN20"
162,45.1643664590481,NA,NA,NA,NA,NA,"Total","DON_KIN20"
2,10.6890007561199,5.34450037805993,6.37170785231726,16.3826796647591,4.249052995009e-07,5.55709446126151e-07,"Model","DON_RAL19"
161,54.5567403244009,0.338861741145347,NA,NA,NA,NA,"Error","DON_RAL19"
163,65.2457410805208,NA,NA,NA,NA,NA,"Total","DON_RAL19"
4,25.8962633601691,6.47406584004228,13.6916093125887,33.0755832855811,6.61692922676593e-13,1.45106149318508e-12,"Model","DON_RAL20"
152,52.3979367347336,0.344723267991669,NA,NA,NA,NA,"Error","DON_RAL20"
156,78.2942000949027,NA,NA,NA,NA,NA,"Total","DON_RAL20"
5,23.6154545936607,4.72309091873214,22.3324774644216,46.5862937287256,0,0,"Model","DON_WAR19"
158,27.0763963854593,0.171369597376325,NA,NA,NA,NA,"Error","DON_WAR19"
163,50.69185097912,NA,NA,NA,NA,NA,"Total","DON_WAR19"
3,11.2304023056594,3.74346743521979,11.8545695876493,28.3143746440947,8.3885121071603e-12,1.49016354811238e-11,"Model","DON_WAR20"
160,28.4328515956646,0.177705322472904,NA,NA,NA,NA,"Error","DON_WAR20"
163,39.6632539013239,NA,NA,NA,NA,NA,"Total","DON_WAR20"
